Manmino,Old Word,Type,Hanji Spelling,Definition
hwamando,huamuandow,,華饅頭,(n) the Chinese mántou
hwangjang,huangjiang,,擴張,(v) to expand
hwangsik,huangsik,,黃色,(n) the color yellow
hwanho,huanham,,歡呼,(v) to cheer
hwanjen,huanjen,,完全,(adj) totally; completely
hwanja,huanjia,,患者,(n) patient
,,,,
hwanlyaw,huanlew,,完了,"(v) to finish, complete"
hwansyang,huansiang,,幻像,"(n) fantasy, illusion"
,,,,
hwaseng,huaseng,,火星,"(n,adj-no) Mars (planet);"
hwasyok,huasiok,,花束,"(n) bouquet; flowers, bundle of"
hwatdong,huatdong,,活動,"(v,n) to exercise; to move about; to operate; loose; shaky; active; movable; behavior"
setdo,huatdow,,舌頭,(n) tongue
watjo,huatjow,,越走,(v) to go beyond
bihang,huatkang,,飛行,"(v) to fly (wings, birds)"
wato,huato,,越語,(n) Vietnamese Language
hway,huay,,回,around
hwaybi,huaybi,,回避,(v) to avoid
hwaybit,huaybit,,繪筆,(n) paintbrush; brushes
hwacang,huayciang,,話昌,"(v,n) to rap"
hwaen,huayen,,話言,"(v) to talk, speak, chat"
hwayhwa,huayhok,,繪畫,(n) drawing
hwaim,huayim,,和音,(n) harmonious sound
hwayjen,huayjen,,回轉,(v) to rotate
hwaylay,huaylay,,回來,(v) to return to
hwayawnit,huayonit,,火曜日,(n) tuesday
hwaysyang,huaysiang,,回想,"(v) to reminesce, recall"
hwaysik,huaysik,,灰色,(n) the color grey
hwaysim,huaysim,,回心,(v) to have a change of heart
hwaysin,huaysin,,灰燼,(n) ashes
hwayi,huayyi,,會議,(n)meeting; conference 
hulup,hulup,,,(v) to blow
hyunyuk,hunyok,,訓育,(v) to scold
hwonjen,huonduon,,混沌,(adj) chaotic; chaos; confusion
hwonhap,huonhap,,混合,(v) to mix together into one
gethwon,huonyin,,結婚,(v) to marry
i,i,,,"(p) ""and”"
indonesya'o,indonesya'o,,,(n) Indonesian Language
ingkak,ingkak,,,(v) to think
inglisi,inglisi,,,(n) england / britain
ja,ja,,左,left
jakja,jajia,,作者,(n) author
jakji,jakji,,桌子,(n) table
cagwa,jakua,,茶果,(n) snacks for tea
jakya,jakya,,昨夜,(n) last night
jobu,jambiu,,祖父,(n) grandfather; grandpa
jobumo,jambiumow,,祖父母,(n) grandparents;
jomo,jammow,,祖母,(n) grandmother; grandma
jakmun,jamun,,作文,(v) writing (literary)
jangley,jangley,,葬禮,(n) funeral service
gwokjanga,kokjanka,,國讚歌,(n) national anthem
jankok,jankok,,殘酷,(adj) cruel
jakseng,jasieng,,作成,(v) to fill out a form; to fill out an essay
jawsik,jawsik,,早食,(n) breakfast
cat,jay,,擦,(v) to rub against; to wipe
